date,open,high,low,close,volume,Name
2015-02-13,47.53,48.4,46.65,48.39,9895724,AAL
2016-11-28,46.64,46.885,45.66,46.5,7369639,AAL
2013-11-08,22.16,23.23,22.12,23.21,8462000,AAL
2016-05-05,33.28,33.52,32.73,32.805,11606138,AAL
2017-04-13,43.95,44.02,43.335,43.35,5504930,AAL
2014-01-31,33.44,34.08,33.0,33.55,12795698,AAL
2017-01-10,47.0,48.51,46.97,48.48,7483764,AAL
2014-03-07,39.17,39.29,38.11,39.02,10540431,AAL
2013-05-20,19.05,19.39,18.39,18.59,6055000,AAL
2016-04-08,38.7,38.72,38.12,38.5,6087408,AAL
2016-01-04,41.29,41.3501,40.3,40.91,12037151,AAL
2014-09-23,35.04,35.77,34.64,35.33,12149378,AAL
2016-05-06,32.67,33.15,32.19,33.03,12749112,AAL
2016-06-16,29.8,29.8,29.02,29.14,18236714,AAL
2015-03-17,52.63,54.18,52.5,53.69,41837891,AAL
2014-09-29,35.35,35.75,34.94,35.03,7492228,AAL
2013-11-25,24.45,24.53,24.0,24.24,9436600,AAL
2014-09-03,39.73,39.9,38.67,39.14,9997418,AAL
2016-10-03,36.46,37.75,36.33,37.7,8878923,AAL
2015-08-19,43.53,44.27,43.21,43.53,8373959,AAL
2015-05-20,47.56,47.56,42.97,43.06,51460347,AAL
2015-03-27,51.38,52.85,51.38,52.66,9003971,AAL
2015-06-10,40.21,41.213,39.7,40.43,15731942,AAL
2017-11-24,48.66,48.76,48.35,48.56,1352400,AAL
2015-03-16,49.77,50.45,49.45,50.22,10897774,AAL
2016-01-19,39.59,39.78,38.21,38.86,10505908,AAL
2017-06-29,49.28,49.685,48.82,49.62,6170117,AAL
2016-02-25,40.76,41.38,40.41,41.36,6936437,AAL
2017-03-17,42.0,42.214,41.6,41.72,10185798,AAL
2017-10-04,50.5,51.67,50.49,50.73,7454460,AAL
2014-10-01,34.72,34.94,33.85,34.39,19453289,AAL
2013-11-07,22.53,22.79,21.95,22.08,6393200,AAL
2015-05-28,42.25,42.5,41.77,41.97,9238835,AAL
2017-09-22,46.57,47.46,46.35,47.06,5342021,AAL
2017-02-09,45.07,46.599,44.94,46.3,7089902,AAL
2015-07-20,41.55,41.71,40.44,40.55,7645875,AAL
2014-09-24,35.47,36.34,35.18,36.12,8491863,AAL
2013-05-14,17.82,18.3,17.8,18.1,5989700,AAL
2014-10-29,40.07,40.4,39.245,39.94,15784094,AAL
2013-10-22,21.53,21.99,21.34,21.95,5208400,AAL
2015-09-25,40.93,41.03,39.92,40.24,7524947,AAL
2013-03-07,14.7,14.93,14.5,14.82,9125300,AAL
2014-03-24,36.25,36.86,36.03,36.8,6514506,AAL
2015-07-10,40.51,41.64,40.5,41.21,16451679,AAL
2017-06-19,49.13,49.72,48.815,49.66,4104267,AAL
2014-03-05,37.6,38.03,37.51,37.86,8793959,AAL
2017-05-15,45.7,46.99,45.69,46.68,5534522,AAL
2016-06-02,31.67,32.07,31.5799,31.67,6813295,AAL
2015-05-06,46.78,47.64,46.15,47.045,10116405,AAL
2017-12-04,50.1,51.47,49.65,49.93,7113822,AAL
2014-10-03,34.66,36.32,34.61,36.23,15081075,AAL
2015-06-18,39.8,40.22,39.61,39.975,10647022,AAL
2013-08-06,19.17,19.2,18.83,18.92,3350300,AAL
2017-08-09,49.74,49.92,49.23,49.4,5020809,AAL
2016-03-11,41.89,42.5,41.7,42.47,5701486,AAL
2016-10-27,39.45,40.18,39.26,39.91,6542122,AAL
2013-10-07,20.41,20.77,20.3,20.39,3837200,AAL
