date,open,high,low,close,volume,Name
2013-04-19,55.61,55.99,55.24,55.92,2022474,ABC
2017-12-11,87.05,87.5,86.29,86.77,1345768,ABC
2015-02-06,96.95,98.23,96.59,97.04,2015514,ABC
2017-10-31,76.85,78.99,75.46,76.95,3132825,ABC
2014-11-20,89.19,89.305,88.34,88.9,1411695,ABC
2013-12-24,70.01,70.42,69.94,70.14,417914,ABC
2014-03-28,64.25,65.03,64.2,64.82,1672045,ABC
2014-05-15,66.89,67.51,66.69,67.5,1934871,ABC
2014-09-18,76.81,77.23,76.7,77.13,1121072,ABC
2016-09-30,81.29,81.64,79.34,80.78,3001798,ABC
2013-11-29,70.7,70.88,70.39,70.53,396085,ABC
2014-08-14,76.06,76.64,76.044,76.62,1044199,ABC
2016-01-25,91.99,92.23,91.05,91.27,2439425,ABC
2013-08-14,58.14,58.59,58.0,58.03,1784627,ABC
2014-10-06,78.07,78.58,77.02,77.52,1328932,ABC
2013-05-23,54.32,54.8,54.05,54.58,1777800,ABC
2015-05-18,113.36,113.62,112.56,113.31,2804059,ABC
2017-08-04,81.71,81.97,79.58,80.83,2882893,ABC
2015-05-12,114.5,115.4497,114.265,115.05,1988941,ABC
2014-03-18,68.08,68.43,67.775,67.85,1604609,ABC
2013-06-27,55.37,55.76,55.1,55.31,2448161,ABC
2015-03-30,113.7,114.0,113.37,113.49,2180388,ABC
2014-07-07,73.2,73.23,72.6601,73.01,892266,ABC
2014-09-10,78.15,78.34,77.82,77.96,913905,ABC
2015-11-03,97.44,98.17,96.77,97.67,1670818,ABC
2016-07-26,85.28,86.04,84.62,85.71,1646102,ABC
2015-10-06,95.47,95.9,92.27,93.03,3778003,ABC
2017-05-19,87.62,89.79,87.05,89.16,1812784,ABC
2017-10-20,82.57,83.77,82.35,83.21,1297292,ABC
2017-06-29,96.68,97.85,95.39,95.76,1053253,ABC
2013-11-08,66.92,68.02,66.75,68.0,1504484,ABC
2015-06-19,111.72,112.31,111.3375,111.47,4169750,ABC
2015-08-03,105.75,106.65,105.14,105.82,1741467,ABC
2017-01-09,84.6,86.07,84.6,85.48,2081568,ABC
2015-11-16,96.86,98.07,96.54,97.3,1829729,ABC
2013-05-02,53.85,54.86,53.77,54.85,2157842,ABC
2016-07-21,86.38,86.895,85.53,85.81,1672006,ABC
2015-03-24,113.64,114.73,113.36,113.89,1913505,ABC
2013-08-02,58.75,58.8,58.25,58.48,1560080,ABC
2015-09-25,102.39,102.465,99.39,99.84,1768355,ABC
