date,open,high,low,close,volume,Name
2015-08-05,106.65,107.5,106.42,107.25,1667823,ABC
2014-09-25,77.71,78.02,77.09,77.49,1738180,ABC
2013-09-09,58.31,58.79,58.15,58.66,941107,ABC
2013-11-20,68.88,69.62,68.8,69.34,1294326,ABC
2016-04-07,87.3,88.0,86.6,86.66,2218686,ABC
2016-04-01,86.61,86.85,85.995,86.51,2033286,ABC
2017-11-09,75.07,76.63,74.9,75.27,2576836,ABC
2017-02-27,92.31,92.74,91.3,91.73,1140061,ABC
2017-05-31,91.33,91.79,90.75,91.77,1870194,ABC
2013-04-08,52.18,52.7,51.69,52.63,2294537,ABC
2014-01-28,66.74,67.89,66.69,67.72,1897287,ABC
2017-10-26,83.97,85.8,77.47,78.77,4756230,ABC
2015-10-23,93.65,94.29,92.4,93.13,2596971,ABC
2014-09-12,77.35,77.6,76.61,77.1,1329951,ABC
2013-10-10,61.8,62.48,61.64,62.43,1209144,ABC
2015-09-30,96.08,96.68,94.07,94.99,2381231,ABC
2015-03-30,113.7,114.0,113.37,113.49,2180388,ABC
2014-12-18,91.12,91.39,90.43,91.28,2160743,ABC
2016-10-11,79.6,80.035,79.26,79.61,2409049,ABC
2016-09-13,86.2,86.5499,84.98,85.25,2722591,ABC
2014-12-24,91.65,92.26,91.46,91.6,436029,ABC
2015-07-08,107.54,108.56,107.39,107.83,1174182,ABC
2013-04-09,52.75,53.15,52.49,52.92,3118306,ABC
2015-02-04,95.62,96.454,95.2315,95.87,1777618,ABC
2016-03-11,87.02,89.64,86.56,89.55,3536540,ABC
2017-08-23,78.98,79.0,77.96,78.14,1455723,ABC
2014-04-02,65.75,66.37,65.55,65.58,1836208,ABC
2016-05-31,74.2,75.05,73.89,74.98,4431248,ABC
2013-12-19,69.37,69.75,69.17,69.63,1964894,ABC
2017-05-25,90.0,91.43,89.83,91.11,1047084,ABC
2016-04-25,91.75,91.99,90.98,91.51,2236917,ABC
2014-01-13,71.42,71.75,70.38,70.61,1806518,ABC
2015-02-12,98.83,99.85,98.23,99.83,2224613,ABC
2018-01-29,105.14,106.27,104.865,105.09,1422994,ABC
2018-01-04,94.64,94.83,92.86,94.18,1781646,ABC
2014-09-29,77.05,77.84,76.95,77.63,973068,ABC
2016-10-04,81.26,81.72,80.25,80.53,1680972,ABC
2014-10-02,76.61,77.25,76.365,76.87,1470542,ABC
2016-03-07,87.36,88.25,87.19,88.1,1757279,ABC
2013-02-08,46.52,46.895,46.46,46.89,1232802,ABC
2017-10-05,84.16,85.29,83.83,84.12,2136222,ABC
2017-03-23,85.86,86.75,85.79,85.99,1440204,ABC
2016-03-03,87.63,88.34,87.13,88.22,1908021,ABC
2017-03-08,88.32,89.97,88.32,89.08,1847565,ABC
2016-06-28,74.32,75.45,74.06,75.32,2811318,ABC
2014-05-12,65.98,66.72,65.87,66.67,1719577,ABC
2016-01-05,102.2,103.4,101.59,103.36,2049940,ABC
2013-04-03,52.57,52.83,51.315,51.69,4838654,ABC
2016-10-21,80.16,80.53,79.93,80.02,1210526,ABC
2014-07-11,72.94,73.1,72.43,72.98,527146,ABC
2017-08-22,78.24,79.46,78.09,79.23,1372974,ABC
2017-09-01,80.46,80.61,79.22,80.24,1248437,ABC
2013-10-17,63.77,64.8,63.65,64.62,1674889,ABC
2014-03-27,64.81,64.82,63.72,64.11,2193227,ABC
2015-04-15,114.2,114.33,112.78,113.62,1327992,ABC
2017-01-20,85.86,86.27,83.21,83.75,3780132,ABC
2014-10-14,76.25,77.34,75.66,76.63,1645429,ABC
2014-11-20,89.19,89.305,88.34,88.9,1411695,ABC
2013-10-22,64.18,64.5599,63.53,63.76,1581978,ABC
2016-02-11,84.25,85.09,84.19,84.55,2758391,ABC
2014-12-16,90.19,91.15,89.255,89.43,2243390,ABC
2016-11-04,71.69,73.32,70.27,70.47,4999820,ABC
2016-06-17,76.01,76.33,75.16,75.7,3056969,ABC
2014-01-07,69.82,70.92,69.82,70.45,1531604,ABC
2015-10-29,97.27,97.538,93.02,96.82,5179667,ABC
2014-05-19,68.53,69.5,68.31,69.42,3277747,ABC
2013-03-25,49.95,50.95,49.84,50.59,3248101,ABC
2013-12-12,69.2,69.56,68.69,68.77,2192591,ABC
2016-01-28,90.5,90.73,87.09,87.29,6053374,ABC
2013-02-22,46.48,47.03,46.385,46.95,1003693,ABC
2013-07-23,58.97,59.0,57.595,57.63,4015305,ABC
2016-07-07,81.09,81.53,80.53,80.99,2508864,ABC
2013-04-25,55.82,56.0,53.125,53.41,7992643,ABC
2017-04-28,82.17,82.4,81.61,82.05,1477044,ABC
2017-08-11,78.83,80.31,78.73,80.02,2214779,ABC
2014-05-30,73.34,73.57,72.72,73.18,3909596,ABC
2014-07-16,72.99,72.99,72.4,72.97,1446615,ABC
2016-08-04,89.71,89.81,88.44,88.98,1897447,ABC
2017-02-22,91.19,92.2,91.01,91.34,1152878,ABC
2014-10-10,77.35,78.11,76.86,76.9,1407495,ABC
2014-02-24,68.31,69.22,68.31,68.58,1363080,ABC
2014-03-28,64.25,65.03,64.2,64.82,1672045,ABC
2015-01-20,93.01,93.42,91.39,92.44,1179964,ABC
2013-03-04,47.83,48.25,47.66,48.25,2132714,ABC
2016-10-10,79.07,80.01,78.78,79.64,1281821,ABC
2016-03-30,86.5,87.445,86.42,87.09,1659918,ABC
2014-02-13,67.37,68.19,66.88,67.89,1286198,ABC
2016-07-25,85.9,85.93,85.01,85.41,1858653,ABC
2015-12-02,99.83,100.01,98.51,98.85,1467961,ABC
2013-10-15,63.05,63.28,62.6303,62.81,855621,ABC
2017-01-10,85.1,86.14,84.3,84.83,1860866,ABC
2015-09-29,96.19,96.81,94.41,95.05,2988453,ABC
2017-08-29,78.16,79.08,77.84,78.56,1279567,ABC
2014-01-14,70.66,70.96,69.61,70.54,2427311,ABC
2017-11-15,75.32,77.66,74.6,77.53,2731010,ABC
2016-06-07,76.39,76.54,75.92,76.22,1679403,ABC
2015-08-26,99.39,100.86,97.05,100.61,2741311,ABC
2013-07-29,58.37,58.78,58.17,58.39,1440888,ABC
2018-01-05,93.77,95.63,93.77,95.32,1342778,ABC
2015-09-22,104.34,104.5,102.66,103.27,2487104,ABC
2015-09-24,102.43,102.57,100.59,101.97,1616047,ABC
2015-04-27,115.88,115.88,113.854,114.11,1563069,ABC
2017-03-30,89.35,89.88,89.03,89.14,1395100,ABC
2017-11-22,79.98,81.99,79.58,81.4,1927033,ABC
2018-02-05,95.62,96.52,91.69,91.9,2278534,ABC
2015-06-30,106.3,107.31,106.15,106.34,1958595,ABC
2015-11-06,98.01,98.71,96.53,97.61,1601353,ABC
2017-02-07,89.85,91.64,89.71,90.33,2108481,ABC
2014-12-09,91.45,92.25,90.77,92.09,1409215,ABC
2016-09-22,83.26,83.95,83.05,83.59,2270372,ABC
2013-05-31,54.49,54.72,54.08,54.08,2535025,ABC
2015-06-23,112.18,112.47,111.58,111.81,1035572,ABC
2014-03-21,66.55,66.63,64.56,64.82,3534843,ABC
2016-03-08,88.33,88.34,87.14,87.82,1834779,ABC
2017-08-03,84.11,85.33,80.51,81.71,7434738,ABC
