date,open,high,low,close,volume,Name
2014-02-06,64.86,65.61,64.4,65.51,1553872,ABC
2015-09-03,100.9,101.49,99.62,100.0,1580082,ABC
2014-09-23,76.72,77.15,76.43,76.79,1196226,ABC
2013-04-15,54.14,54.346,53.84,54.04,2243835,ABC
2013-04-19,55.61,55.99,55.24,55.92,2022474,ABC
2016-04-08,86.75,86.89,85.12,85.31,2483797,ABC
2017-10-25,82.0,82.52,81.41,82.23,1266446,ABC
2017-05-12,88.61,88.97,88.44,88.75,1202105,ABC
2016-06-02,75.81,77.23,75.66,77.08,3043678,ABC
2017-09-06,80.0,80.935,79.84,80.72,1308264,ABC
2014-01-07,69.82,70.92,69.82,70.45,1531604,ABC
2017-01-18,85.95,86.18,85.19,85.51,2094559,ABC
2016-08-30,86.5,86.87,85.68,86.04,1736837,ABC
2017-07-17,93.05,93.37,92.55,92.71,1017656,ABC
2015-10-02,92.34,94.98,90.82,94.91,3488852,ABC
2017-11-16,77.72,80.71,77.41,80.31,2986809,ABC
2014-06-10,72.17,72.57,71.68,72.01,1796736,ABC
2014-06-23,72.47,72.77,72.27,72.48,969644,ABC
2013-04-17,54.78,55.19,54.45,55.06,3176640,ABC
2015-02-02,95.57,95.77,93.6,95.15,1697600,ABC
2017-01-11,85.15,86.315,79.94,81.53,3994919,ABC
2013-11-12,68.18,68.44,67.82,68.29,1347315,ABC
2013-07-26,57.41,58.58,57.28,58.47,1714280,ABC
2014-06-02,73.31,73.79,73.08,73.21,1602057,ABC
2015-04-14,114.34,114.45,112.7,114.0,1032017,ABC
2015-04-15,114.2,114.33,112.78,113.62,1327992,ABC
2014-01-30,67.65,68.145,67.65,67.77,1437156,ABC
2015-04-17,113.21,113.71,112.05,112.61,2297916,ABC
2015-12-01,98.84,99.828,98.81,99.5,1823844,ABC
2014-06-12,71.79,72.05,71.1,71.46,1509338,ABC
2014-07-07,73.2,73.23,72.6601,73.01,892266,ABC
2016-11-15,81.5,81.66,78.84,79.53,4285568,ABC
2017-12-01,83.98,85.25,81.2076,84.95,3188555,ABC
2013-06-19,55.78,56.39,55.39,55.56,2227143,ABC
2013-07-19,58.25,58.905,58.13,58.81,1552845,ABC
2017-09-27,82.17,82.8,81.02,82.43,960866,ABC
2016-04-14,84.7,87.14,84.63,86.7,2126537,ABC
2014-03-14,67.66,67.95,67.4032,67.57,1672775,ABC
2014-07-30,77.99,78.46,77.693,77.95,1270841,ABC
2015-07-10,109.74,109.98,109.27,109.46,1170511,ABC
2016-02-16,86.11,86.23,85.0,85.61,2234449,ABC
2017-02-03,88.57,89.61,87.74,89.28,2990323,ABC
2014-01-27,67.04,67.51,66.641,66.81,2836226,ABC
2015-01-21,92.38,93.0,91.8995,92.78,1531623,ABC
2014-11-18,89.0,89.97,88.67,89.76,1611233,ABC
2014-10-24,77.71,78.33,77.43,78.28,1425460,ABC
2016-07-07,81.09,81.53,80.53,80.99,2508864,ABC
2017-10-31,76.85,78.99,75.46,76.95,3132825,ABC
2014-04-30,63.75,65.29,63.59,65.18,3099892,ABC
2015-02-26,102.93,103.64,102.62,102.98,1711928,ABC
2016-11-21,78.62,79.34,77.84,78.45,2607501,ABC
2016-10-11,79.6,80.035,79.26,79.61,2409049,ABC
2016-03-28,87.04,87.4,85.71,86.48,1463831,ABC
2014-11-10,87.02,87.863,86.52,87.71,1297153,ABC
2013-03-28,50.96,51.57,50.795,51.45,2836398,ABC
2016-03-09,87.79,88.01,87.37,87.57,1817730,ABC
2017-08-02,92.19,92.19,89.09,91.27,2301075,ABC
2014-04-11,64.53,65.25,63.86,64.17,2587358,ABC
2015-01-28,98.8,100.2,95.26,96.37,5425090,ABC
2013-08-08,59.36,59.67,58.89,59.61,1578868,ABC
2015-03-03,103.41,103.97,102.5,103.04,1995403,ABC
2013-10-28,65.16,65.38,64.525,65.2,1429321,ABC
2014-07-22,73.06,73.88,73.02,73.72,1257019,ABC
2015-08-27,101.47,101.785,99.4,101.15,4173816,ABC
2013-02-11,46.85,47.0,46.5,46.76,1115888,ABC
2013-04-24,56.33,56.595,55.63,55.82,3091286,ABC
2016-01-21,90.9,91.83,89.79,90.57,2196707,ABC
2016-12-16,76.94,77.585,76.5,77.38,3635061,ABC
2016-01-07,100.87,101.15,98.49,98.53,3658651,ABC
2015-05-19,113.54,115.58,113.42,115.11,1902393,ABC
2017-12-13,87.54,89.24,87.36,88.48,1391586,ABC
2016-09-21,82.2,83.15,81.79,83.02,2813172,ABC
2014-06-05,73.51,73.81,72.53,72.79,2691569,ABC
2014-03-19,68.05,68.1,66.59,66.87,1337650,ABC
2016-01-26,91.41,91.59,90.61,91.26,1327540,ABC
2016-10-06,79.58,80.29,78.9,80.14,2249064,ABC
2017-05-24,89.38,90.32,88.55,89.97,1266722,ABC
2015-05-29,113.22,114.4,112.56,112.56,4702561,ABC
2014-02-04,65.38,65.68,64.86,65.01,1864987,ABC
2013-11-15,69.12,69.6135,68.8997,69.5,1407972,ABC
2016-11-03,75.87,77.47,71.21,72.32,7258555,ABC
2017-12-28,92.88,92.93,91.745,92.59,1152493,ABC
2015-06-08,111.31,111.81,110.21,110.22,1335504,ABC
2015-03-18,110.45,112.28,109.82,111.7,2043999,ABC
2016-03-23,87.5,87.84,87.09,87.27,1327800,ABC
2014-05-16,67.36,68.34,67.31,68.31,2558250,ABC
2015-04-08,112.77,113.5,112.43,113.24,2048854,ABC
2018-01-08,95.11,97.81,94.81,96.9,1731070,ABC
2016-01-22,91.89,92.08,90.84,91.0,1985773,ABC
2013-07-05,55.51,55.66,54.9,55.56,1630043,ABC
2014-11-28,90.49,91.59,90.46,91.05,758326,ABC
2014-04-02,65.75,66.37,65.55,65.58,1836208,ABC
2017-06-22,95.7,97.67,95.5,96.37,1730046,ABC
2017-08-30,78.43,78.53,77.79,78.33,1267028,ABC
2014-03-11,69.11,69.47,68.171,68.34,1562662,ABC
2017-09-05,79.81,80.78,79.05,79.69,1123869,ABC
2014-02-07,65.88,66.59,65.7,66.54,1563424,ABC
2017-04-24,82.03,82.105,80.81,80.94,2300122,ABC
2013-10-09,61.29,61.475,60.78,61.27,1638446,ABC
2016-07-20,86.39,87.05,86.01,86.64,1248823,ABC
2016-10-28,69.13,71.41,68.38,69.14,9767107,ABC
2014-06-13,71.45,71.9,71.0,71.78,1269685,ABC
2014-12-22,92.26,92.56,91.48,91.94,1576047,ABC
2017-03-21,87.0,87.29,85.77,85.91,1988779,ABC
2016-07-14,85.35,86.12,85.255,85.95,2035706,ABC
2013-11-06,67.17,67.4,66.56,67.16,1410545,ABC
2013-11-29,70.7,70.88,70.39,70.53,396085,ABC
2016-09-08,87.4,87.67,87.14,87.27,2195185,ABC
2014-05-22,70.78,71.66,70.58,71.35,1772193,ABC
2017-09-22,80.53,81.2,80.33,81.05,835921,ABC
2017-04-20,82.23,82.93,81.62,82.37,2058848,ABC
2014-05-02,64.89,64.89,64.15,64.27,1796969,ABC
2014-09-19,77.47,78.12,77.32,77.33,3064569,ABC
2015-10-23,93.65,94.29,92.4,93.13,2596971,ABC
2017-07-18,92.68,92.68,90.97,91.37,1299283,ABC
2016-09-22,83.26,83.95,83.05,83.59,2270372,ABC
2014-07-16,72.99,72.99,72.4,72.97,1446615,ABC
2016-04-06,85.76,87.6,85.72,87.54,2816776,ABC
2013-09-06,58.2,58.625,57.47,58.24,885756,ABC
