timestamp,open,high,low,close,volume
11/21/2011,370.4,371.68,365.91,369.01,15999300
4/30/2001,26.7,27.12,24.87,25.49,8835300
11/5/2009,192.4,195.0,191.82,194.0301,13742900
2/1/2012,458.41,458.99,455.55,456.19,9644500
9/12/2012,666.85,669.9,656.0,669.79,25436900
9/11/2002,14.34,14.6,14.15,14.29,3614500
1/15/2003,14.59,14.7,14.26,14.43,6627300
5/11/2016,93.48,93.57,92.46,92.51,28719109
2/7/2006,68.34,69.48,66.68,67.6,49601100
4/16/1999,35.88,36.06,35.25,35.44,4484100
12/7/2010,323.8,323.99,318.12,318.21,13980500
5/8/2006,72.99,73.8,71.72,71.89,21244700
5/11/2018,189.49,190.06,187.45,188.59,26212221
3/8/2007,88.59,88.72,87.46,88.0,18250400
2/24/2000,117.31,119.12,111.75,115.2,3361000
1/29/2002,23.22,23.54,22.85,23.07,4291500
12/12/2012,547.77,548.0,536.2701,539.0,17398000
11/27/2002,15.6,15.86,15.45,15.72,5121400
8/14/2006,64.05,65.22,63.6,63.94,25629300
9/21/2009,184.29,185.16,181.62,184.02,15632700
11/16/2011,389.25,391.14,384.32,384.77,12471800
1/27/1999,41.0,41.38,39.94,40.13,3258500
6/8/2001,21.65,21.65,20.71,21.32,6118300
9/28/2015,113.85,114.57,112.44,112.44,50782189
2/13/2001,19.94,20.44,19.0,19.12,4233400
6/14/2018,191.55,191.57,190.22,190.8,21610074
8/3/2018,207.03,208.74,205.4803,207.99,33447396
6/14/2010,255.96,259.15,254.01,254.28,21534300
1/8/1999,46.56,46.88,44.0,45.0,6061000
3/19/2009,101.91,103.2,100.25,101.62,17863600
12/12/2011,391.68,393.9,389.45,391.84,10752400
9/11/2003,22.25,22.79,22.1,22.56,3815800
9/19/2006,74.1,74.36,72.8,73.77,25358900
6/10/1998,28.0,29.0,27.62,28.06,2046700
3/12/2001,19.69,19.87,18.12,18.62,6982500
5/30/2018,187.72,188.0,186.78,187.5,18690547
7/11/2018,188.5,189.7799,187.61,187.88,18831470
4/5/2017,144.22,145.46,143.81,144.02,27717854
10/1/2002,14.59,14.6,14.0,14.51,6114700
12/1/2010,315.27,317.75,315.0,316.4,16491100
8/13/2001,19.1,19.33,18.76,19.09,2642800
5/17/2016,94.55,94.7,93.01,93.49,46916939
5/16/2018,186.07,188.46,186.0,188.18,19183064
9/19/2012,700.26,703.99,699.57,702.1,11674100
8/30/2006,67.335,67.82,66.68,66.96,24290800
1/3/2002,23.75,23.75,22.77,23.58,10928700
1/9/2001,16.81,17.64,16.56,17.19,10516600
8/10/2012,618.71,621.76,618.7,621.7,6962100
11/28/2012,577.27,585.8,572.26,582.94,18602300
11/12/2004,55.01,55.69,54.84,55.5,7066100
6/11/2002,21.64,21.7,20.41,20.46,6241000
4/6/2005,42.4,42.81,42.15,42.33,14815200
3/23/2010,225.64,228.78,224.1,228.36,21515400
5/8/2009,129.04,131.2342,126.26,129.19,16713000
7/9/2007,132.38,132.9,129.18,130.3301,35565000
12/14/2009,195.37,197.43,192.56,196.98,17706800
9/20/2001,16.29,16.95,15.5,15.68,7342400
8/1/2012,615.905,616.4,603.0,606.81,13732200
7/22/2015,121.99,125.5,121.99,125.22,115450607
9/15/2011,391.43,393.66,389.9,392.96,14922100
5/6/2008,184.56,187.12,182.18,186.66,32816800
11/20/2017,170.29,170.56,169.56,169.98,15974387
7/9/2010,256.89,259.9,255.16,259.62,15475800
10/8/2014,98.76,101.11,98.31,100.8,57404674
7/24/2006,61.26,62.1,60.43,61.42,25816300
6/30/2000,52.81,54.94,51.69,52.38,5769600
1/22/1999,37.69,39.5,37.06,38.75,3087200
5/10/2010,250.25,254.65,248.53,253.99,35153800
9/26/2017,151.78,153.92,151.69,153.14,35470985
1/5/2015,108.29,108.65,105.41,106.25,64285491
9/1/2009,167.99,170.0,164.94,165.298,16751000
7/24/2001,19.39,19.92,18.73,19.09,6221000
5/10/2004,26.27,26.6,25.94,26.28,4463900
3/11/2016,102.24,102.28,101.5,102.26,27408237
1/22/1998,18.69,19.75,18.62,19.25,2944000
1/25/2012,454.44,454.45,443.73,446.66,34225500
3/10/2008,121.98,123.46,119.37,119.69,35699600
8/18/2005,46.91,47.0,45.75,46.3,15805700
3/31/1999,36.38,37.13,35.88,35.94,3771000
4/7/1999,38.06,38.25,36.38,37.13,3676900
