date,open,high,low,close,volume,Name
2015-11-12,96.29,98.38,96.29,96.91,1914257,ABC
2014-04-21,64.21,65.15,64.21,64.8,1224743,ABC
2016-10-13,80.28,80.93,79.93,80.38,2493977,ABC
2013-02-22,46.48,47.03,46.385,46.95,1003693,ABC
2017-06-27,95.92,96.7,95.1,95.53,1253124,ABC
2013-11-01,65.55,66.38,65.16,66.38,2300910,ABC
2015-05-08,114.54,116.0,114.53,115.3,2486790,ABC
2015-09-17,106.44,108.18,105.63,106.78,1631793,ABC
2015-02-27,103.08,103.31,102.49,102.76,1329252,ABC
2017-08-30,78.43,78.53,77.79,78.33,1267028,ABC
2017-01-06,83.53,85.78,83.53,84.8,2131961,ABC
2017-02-13,91.53,94.5,89.42,90.48,3038167,ABC
2014-01-21,70.88,71.17,70.27,70.52,1368005,ABC
2015-04-16,113.41,114.06,112.525,113.83,1055597,ABC
2014-10-06,78.07,78.58,77.02,77.52,1328932,ABC
2017-10-27,78.59,78.77,75.66,76.38,4690478,ABC
2015-01-22,93.23,94.225,91.95,94.15,1641097,ABC
2016-02-25,87.55,88.03,86.88,87.6,1264526,ABC
2013-04-03,52.57,52.83,51.315,51.69,4838654,ABC
2016-04-06,85.76,87.6,85.72,87.54,2816776,ABC
2013-08-06,59.03,59.03,58.36,58.66,1060763,ABC
2017-10-03,83.33,83.7287,82.515,82.88,1141899,ABC
2017-07-21,91.82,92.08,91.44,91.62,604429,ABC
2013-10-14,62.46,63.14,62.18,63.11,1068126,ABC
2014-03-28,64.25,65.03,64.2,64.82,1672045,ABC
2017-08-25,78.39,78.9522,77.97,78.1,1154263,ABC
2015-06-25,109.49,109.7,107.3101,107.61,3239384,ABC
2017-10-06,84.23,84.5,80.04,80.48,2919861,ABC
2015-09-25,102.39,102.465,99.39,99.84,1768355,ABC
2016-11-08,71.03,71.16,68.705,69.03,4787219,ABC
2016-02-24,86.52,87.28,85.8,87.08,2737266,ABC
2017-12-18,92.25,92.95,91.755,92.4,1880538,ABC
2017-01-18,85.95,86.18,85.19,85.51,2094559,ABC
2015-03-16,108.13,110.2,106.971,110.13,3548820,ABC
2013-07-15,58.57,58.82,58.07,58.24,1693790,ABC
2017-04-27,81.38,82.19,81.3,82.12,1671300,ABC
2014-09-25,77.71,78.02,77.09,77.49,1738180,ABC
2017-11-17,79.65,80.03,77.58,78.84,2196698,ABC
2016-02-02,88.6,89.89,87.95,88.14,2849591,ABC
2013-02-14,46.67,46.99,46.6,46.77,1941879,ABC
2014-10-09,77.89,78.46,77.14,77.2,1498999,ABC
2017-06-19,92.61,94.02,91.76,93.75,1072896,ABC
2016-09-09,86.63,86.82,85.22,85.31,2470512,ABC
2016-05-31,74.2,75.05,73.89,74.98,4431248,ABC
2013-02-26,46.38,46.62,46.08,46.57,1374357,ABC
2014-05-21,69.79,70.81,69.79,70.71,2327406,ABC
2015-10-05,95.34,95.83,94.01,94.99,2541998,ABC
2013-11-25,69.8,70.75,69.8,70.42,1077743,ABC
2015-11-27,99.02,99.7,98.47,98.99,775378,ABC
2016-02-08,83.89,84.24,82.72,83.62,4596574,ABC
2014-12-24,91.65,92.26,91.46,91.6,436029,ABC
2016-01-19,93.29,93.341,91.59,92.54,3424171,ABC
2015-03-06,103.19,103.59,102.0,102.26,1549308,ABC
2013-10-21,64.57,64.64,63.62,63.87,1819767,ABC
2017-03-13,88.76,89.25,88.22,89.14,1673888,ABC
2013-02-19,46.67,47.24,46.62,47.22,1831692,ABC
2017-08-10,79.43,80.025,78.13,78.88,2417110,ABC
2016-05-26,74.04,74.07,73.31,73.69,1460585,ABC
2015-11-10,97.5,99.05,97.18,98.87,1815344,ABC
2017-01-11,85.15,86.315,79.94,81.53,3994919,ABC
2017-10-31,76.85,78.99,75.46,76.95,3132825,ABC
2013-02-12,46.7,47.05,46.6,46.96,1318773,ABC
2016-11-21,78.62,79.34,77.84,78.45,2607501,ABC
2018-02-06,92.58,93.37,86.9403,91.54,4574997,ABC
2014-09-08,77.92,78.5992,77.82,78.33,1086239,ABC
2018-02-07,91.6,95.34,91.1,94.22,2509484,ABC
2017-06-13,92.51,93.0,92.03,93.0,636448,ABC
2016-05-05,77.95,79.68,76.82,78.0,11878192,ABC
2017-01-25,84.9,85.92,84.58,85.83,1858179,ABC
2017-08-07,80.8,81.03,79.24,80.58,2287101,ABC
2016-11-04,71.69,73.32,70.27,70.47,4999820,ABC
2014-11-24,89.21,90.1,89.21,90.04,1309498,ABC
2017-03-20,87.65,87.8915,86.25,86.91,1618707,ABC
2016-10-31,69.51,70.94,69.51,70.32,4437023,ABC
2014-05-27,71.76,72.41,71.71,72.4,1521070,ABC
2013-09-19,61.85,62.44,61.78,62.23,1150681,ABC
2014-10-14,76.25,77.34,75.66,76.63,1645429,ABC
2013-12-06,69.88,70.36,69.6,70.29,1299096,ABC
2017-11-24,81.9,81.98,80.22,81.23,701755,ABC
2017-09-26,81.41,82.65,81.33,82.0,1018543,ABC
2015-06-11,108.92,111.1396,108.8,110.41,1906301,ABC
