date,open,high,low,close,volume,Name
2014-06-12,54.22,54.25,53.46,53.66,3941639,ABBV
2013-09-24,46.95,46.95,45.94,45.98,7076602,ABBV
2015-01-05,65.5,66.1,63.88,64.65,8007433,ABBV
2015-06-01,66.8,67.26,66.26,66.93,12427634,ABBV
2013-11-19,48.73,49.0,48.3699,48.46,4050726,ABBV
2013-09-09,43.88,44.44,43.5,44.43,3287461,ABBV
2016-09-16,63.53,63.79,63.17,63.27,11165269,ABBV
2014-05-02,51.41,51.72,51.0,51.18,3341268,ABBV
2017-05-25,66.06,66.57,65.8,66.32,4058348,ABBV
2017-05-16,66.73,66.92,66.33,66.85,6313452,ABBV
2014-09-19,59.84,59.93,59.01,59.06,13987013,ABBV
2013-10-10,45.1,45.68,44.51,45.68,3967512,ABBV
2017-07-07,72.11,72.11,71.63,72.03,4333674,ABBV
2015-04-22,63.6,64.73,63.5605,64.52,13874280,ABBV
2016-06-10,59.99,61.01,59.72,61.0,11052311,ABBV
2017-05-11,65.9,65.96,64.655,65.3,7853758,ABBV
2013-10-14,45.21,46.45,45.07,46.33,3377273,ABBV
2013-12-24,52.78,52.79,52.275,52.36,1747000,ABBV
2014-03-17,51.47,52.19,51.26,51.98,3875485,ABBV
2014-09-16,57.63,58.7,57.46,58.6,9112383,ABBV
2017-02-08,60.14,61.02,60.05,60.52,5357808,ABBV
2017-07-13,71.94,72.895,71.67,72.63,5189786,ABBV
2016-05-20,59.63,60.05,59.03,59.69,11259353,ABBV
2015-12-23,57.88,58.61,57.61,58.58,6634423,ABBV
2013-09-06,43.53,44.35,42.891,43.89,3992200,ABBV
2013-04-17,42.14,42.43,41.42,42.24,5046271,ABBV
2015-11-23,61.31,61.53,60.84,61.15,6404954,ABBV
2017-01-20,61.41,61.77,61.08,61.15,6730041,ABBV
2017-09-27,85.35,85.3919,83.19,84.75,6581193,ABBV
2015-04-28,64.6,66.49,64.2,66.49,13084866,ABBV
2013-12-16,53.42,54.78,52.98,53.37,9848309,ABBV
2013-08-21,42.82,42.88,42.25,42.31,4118891,ABBV
2013-12-19,53.21,53.21,52.02,52.63,8381255,ABBV
2016-06-28,59.28,60.13,59.15,59.99,9897585,ABBV
2016-07-15,63.82,64.17,63.13,63.32,8827486,ABBV
2017-07-12,71.51,72.13,71.3,71.88,4860230,ABBV
2018-01-04,100.07,100.12,98.35,99.38,3578996,ABBV
2016-02-22,54.67,55.32,53.74,55.28,9381829,ABBV
2015-06-19,68.5,69.75,68.5,69.48,9979511,ABBV
2013-11-18,48.89,49.96,48.73,48.87,8585679,ABBV
2014-10-09,58.52,58.55,56.71,56.72,11913149,ABBV
2013-05-17,46.03,47.34,45.85,47.17,5245633,ABBV
2014-05-27,54.2,54.2,53.78,53.99,3816296,ABBV
2017-06-21,71.11,71.7,71.05,71.34,6096825,ABBV
2017-05-31,66.24,66.41,65.61,66.02,6935838,ABBV
2018-01-22,104.7,106.54,104.461,106.49,4538146,ABBV
2014-10-01,57.93,57.94,56.96,57.23,8432076,ABBV
2014-11-26,68.34,68.86,67.881,68.7,4045983,ABBV
2017-05-26,66.14,66.41,65.851,66.06,4083006,ABBV
2013-03-01,36.8,38.07,36.551,37.81,8929379,ABBV
2014-03-19,53.09,53.53,52.44,53.11,6408622,ABBV
2013-10-11,45.7,45.7,44.955,45.65,2985710,ABBV
2017-11-27,94.69,95.63,94.44,95.42,3044642,ABBV
2013-09-27,44.87,44.9,44.015,44.33,6617251,ABBV
2017-05-05,67.19,67.22,66.3246,66.99,4587787,ABBV
2015-06-11,68.67,68.67,67.65,68.04,7552238,ABBV
2013-07-19,44.49,44.91,44.12,44.52,4234866,ABBV
2016-10-25,61.06,61.655,60.95,61.55,6432753,ABBV
2015-07-01,67.9,68.6,67.68,68.51,7694912,ABBV
2017-09-14,88.23,89.32,88.15,89.22,10272229,ABBV
2016-12-12,61.53,62.45,61.51,62.04,5984483,ABBV
2016-03-08,56.18,56.47,55.23,55.32,5303745,ABBV
2014-01-31,49.94,50.55,49.07,49.23,12894409,ABBV
2017-04-11,64.43,64.43,63.32,64.18,5404537,ABBV
2014-07-24,54.22,54.56,53.97,54.08,11712776,ABBV
2014-09-09,55.53,57.18,55.43,56.95,17566165,ABBV
2016-04-13,59.87,60.0,58.7,59.06,7023002,ABBV
2013-10-01,44.81,45.8975,44.81,45.8,4159654,ABBV
2014-10-20,52.56,54.59,52.25,54.41,17954637,ABBV
2014-12-03,69.17,69.476,68.41,68.5,5821231,ABBV
2013-11-04,49.19,49.19,48.0,48.76,4095606,ABBV
2014-07-29,53.55,53.66,53.24,53.43,16171546,ABBV
2014-08-27,55.85,55.85,55.4,55.7,11022640,ABBV
2014-06-20,55.62,55.62,53.16,53.3,13457709,ABBV
2014-04-14,47.1,47.5,46.205,46.83,7292068,ABBV
2015-01-21,63.1,63.45,62.28,62.7,7979499,ABBV
2015-08-27,64.03,64.6,63.0,64.51,12592052,ABBV
2015-07-14,69.71,70.52,69.4,69.8,6628269,ABBV
2013-10-09,44.72,45.31,44.32,44.81,5113041,ABBV
2015-04-06,56.81,57.89,56.68,57.61,10280058,ABBV
2014-08-01,52.03,52.64,51.75,52.48,11593203,ABBV
2014-02-21,51.82,51.97,51.01,51.04,5842724,ABBV
2013-04-19,42.51,42.58,42.2,42.39,6493328,ABBV
2013-06-03,42.88,43.58,42.75,43.36,7177530,ABBV
2017-01-25,60.6,61.63,60.34,61.38,8052806,ABBV
2015-05-19,65.71,66.12,65.4,65.73,7674605,ABBV
2014-09-03,55.16,55.53,54.83,55.51,7562354,ABBV
2013-11-07,48.17,48.36,47.18,47.24,4444941,ABBV
2015-07-09,68.48,68.92,67.8,67.97,6516775,ABBV
2015-02-05,57.545,58.26,56.15,57.99,18964680,ABBV
2013-10-17,46.95,48.32,46.95,48.17,7242363,ABBV
2017-07-06,72.24,72.45,71.41,71.73,4372054,ABBV
2016-04-27,60.93,61.48,60.25,60.7,6679223,ABBV
2013-10-24,48.63,48.9799,47.74,47.93,5077926,ABBV
2017-10-25,91.78,92.08,90.73,91.78,5573273,ABBV
2014-11-14,63.98,64.0,63.13,64.0,4684899,ABBV
2017-10-10,90.71,91.22,89.7,91.17,3560777,ABBV
2017-12-28,98.19,98.39,97.5175,97.79,1870435,ABBV
2014-10-29,60.99,60.99,59.36,59.98,16547937,ABBV
2013-11-13,47.36,47.93,47.29,47.85,3745113,ABBV
2017-08-23,71.29,71.9,71.27,71.52,3071296,ABBV
2014-12-11,66.48,67.96,66.24,67.03,9518016,ABBV
2013-08-12,44.71,45.2,44.39,45.04,3826370,ABBV
2014-01-27,47.79,47.83,46.42,46.83,10788733,ABBV
2013-04-11,43.42,43.705,43.11,43.2,6494382,ABBV
2013-08-26,43.43,43.74,43.19,43.45,3498733,ABBV
2013-02-21,38.49,39.025,38.19,38.78,7261136,ABBV
2014-06-05,54.55,55.32,54.36,55.3,4847296,ABBV
2017-10-12,91.77,91.99,90.91,91.42,4818207,ABBV
2015-02-02,61.49,61.49,58.65,60.7,11491076,ABBV
2017-08-08,71.33,71.91,71.01,71.47,4398003,ABBV
2015-03-26,57.98,58.09,57.22,57.27,10853908,ABBV
2017-07-03,72.76,72.99,72.37,72.42,2570706,ABBV
2014-03-31,51.34,51.7,50.95,51.4,4813095,ABBV
2017-10-23,95.93,96.0,94.45,94.51,4483894,ABBV
2015-08-31,64.14,64.31,62.2545,62.41,15581121,ABBV
2013-02-14,35.05,36.73,35.01,36.57,7570052,ABBV
2015-06-10,67.66,68.44,67.54,68.24,7349344,ABBV
2016-09-23,65.05,65.33,64.75,64.98,5154154,ABBV
2015-07-17,69.99,70.125,69.7,69.99,6141226,ABBV
2016-05-05,61.41,62.395,61.09,62.34,8646174,ABBV
2017-09-22,87.22,87.75,86.77,87.48,6806950,ABBV
2016-09-06,64.7,64.895,64.05,64.61,6286293,ABBV
2015-10-15,54.32,56.2,53.85,56.14,7781605,ABBV
2017-03-27,65.37,66.275,65.24,66.1,4962319,ABBV
2016-02-08,52.58,54.1,51.941,52.89,9369377,ABBV
2016-05-26,61.0,62.17,60.9,61.9,6537116,ABBV
2017-08-22,70.91,71.88,70.76,71.75,3588963,ABBV
2016-05-02,60.79,62.0,60.7,61.44,9512008,ABBV
2013-12-26,52.59,53.06,52.34,52.99,2401527,ABBV
2016-09-29,64.3,64.31,62.8,62.82,6431183,ABBV
2016-09-30,62.67,63.255,62.45,63.07,7325429,ABBV
2017-08-21,69.92,70.825,69.91,70.7,4666390,ABBV
2014-12-12,66.53,67.17,65.01,65.27,9221434,ABBV
2016-06-03,64.76,65.37,63.75,65.0,10621604,ABBV
2014-05-21,53.5,53.84,53.0998,53.27,4088023,ABBV
2015-02-27,60.53,60.99,60.37,60.5,8649102,ABBV
2017-04-28,66.06,66.32,65.441,65.94,5521146,ABBV
2017-01-13,61.35,62.41,61.05,61.99,7295072,ABBV
2014-06-02,54.43,54.95,53.91,54.15,3634963,ABBV
2017-05-24,65.79,66.12,65.57,65.93,3232250,ABBV
2015-09-09,61.52,61.52,59.11,59.26,8436873,ABBV
2013-12-18,52.78,54.43,52.22,54.32,9635694,ABBV
2014-01-08,50.63,51.11,50.235,50.36,6813338,ABBV
2014-12-10,69.44,69.44,67.53,67.58,8575718,ABBV
2014-07-31,53.13,53.4,52.3,52.34,15479875,ABBV
2014-12-26,66.51,67.24,66.51,66.98,4158161,ABBV
2013-07-24,44.28,44.37,43.39,43.64,3088091,ABBV
2017-08-17,70.6,70.68,69.83,69.85,5086004,ABBV
2015-01-20,65.06,65.29,62.75,63.45,9065315,ABBV
2015-10-22,53.88,54.44,45.45,48.27,46517686,ABBV
2016-02-03,54.53,57.18,54.05,56.84,16435661,ABBV
2016-01-22,59.1,59.43,57.82,58.83,10383842,ABBV
2018-01-29,121.5,124.15,118.98,122.31,10182688,ABBV
2015-12-24,58.38,58.73,58.0,58.46,2152905,ABBV
2017-09-01,75.59,76.0,75.26,75.42,3831839,ABBV
2015-06-15,66.66,67.05,66.1,66.91,7028434,ABBV
2017-01-26,61.16,61.9,61.07,61.27,7765266,ABBV
2014-05-29,54.1,54.45,53.75,54.03,2768582,ABBV
2015-08-10,68.92,69.43,68.5003,69.21,8189435,ABBV
2016-12-14,61.55,62.3,61.51,61.67,5115655,ABBV
2013-06-07,43.72,44.27,43.5,44.0,5463841,ABBV
2015-01-29,62.12,63.38,61.59,63.12,8485561,ABBV
2013-04-09,41.96,43.56,41.8,42.55,8674526,ABBV
2016-12-20,62.34,62.71,61.75,62.16,5751786,ABBV
2017-04-06,65.03,65.195,64.65,65.08,4628438,ABBV
2017-03-29,65.95,66.27,65.68,65.77,3649941,ABBV
2014-01-23,48.74,49.06,48.39,48.87,7270503,ABBV
2016-05-03,60.99,62.09,60.72,61.77,9316558,ABBV
2013-05-07,44.5,45.0,44.4201,44.91,3745563,ABBV
2016-11-16,62.67,62.97,61.42,61.54,6571245,ABBV
2013-04-18,42.37,42.64,41.89,42.32,5008971,ABBV
2013-08-20,43.29,43.48,42.85,42.97,2802980,ABBV
2017-12-12,96.62,96.69,94.76,96.3,4195218,ABBV
2017-07-24,74.63,74.75,73.8375,73.91,5497780,ABBV
2017-01-31,60.01,61.315,59.75,61.11,8149764,ABBV
2016-09-09,63.22,64.0,63.06,63.36,8848534,ABBV
2014-09-04,55.36,55.6,55.09,55.54,10019368,ABBV
2016-03-09,55.51,56.65,55.04,56.39,8402476,ABBV
2017-03-01,62.16,62.93,61.95,62.83,7737382,ABBV
2014-04-15,47.42,48.085,46.764,47.86,9531242,ABBV
2017-11-30,96.36,97.53,96.21,96.92,7889581,ABBV
2013-02-11,36.13,36.18,35.75,35.85,6031957,ABBV
2014-06-25,53.52,55.79,53.4,55.0,11085144,ABBV
