date,open,high,low,close,volume,Name
2017-05-03,82.45,83.11,81.6,82.67,2920282,ABC
2014-04-29,63.7,64.3,63.558,63.99,1758493,ABC
2017-07-31,94.3,94.42,93.25,93.82,1067330,ABC
2017-01-12,82.28,84.94,81.95,83.86,2771249,ABC
2014-12-09,91.45,92.25,90.77,92.09,1409215,ABC
2015-12-10,100.93,102.42,100.62,101.95,2678670,ABC
2014-09-02,77.51,77.69,77.05,77.15,1112317,ABC
2016-08-18,88.54,88.99,88.11,88.97,1444667,ABC
2016-06-13,76.44,77.18,76.21,76.41,2860557,ABC
2015-09-14,104.82,105.48,103.79,104.62,1762397,ABC
2016-05-12,75.92,75.92,74.63,74.78,3469278,ABC
2013-04-24,56.33,56.595,55.63,55.82,3091286,ABC
2015-12-02,99.83,100.01,98.51,98.85,1467961,ABC
2016-05-20,75.14,75.33,74.36,74.82,2544887,ABC
2014-11-19,89.44,89.9399,88.89,89.32,2207291,ABC
2016-10-03,80.68,80.945,79.99,80.12,1563127,ABC
2013-10-18,64.98,65.06,64.33,64.61,1112038,ABC
2017-05-01,82.32,83.01,81.86,82.49,1708821,ABC
2016-05-10,77.78,78.2887,76.4,76.68,3683560,ABC
2017-04-28,82.17,82.4,81.61,82.05,1477044,ABC
2017-08-02,92.19,92.19,89.09,91.27,2301075,ABC
2014-03-06,69.0,69.45,68.75,68.75,1495323,ABC
2016-09-22,83.26,83.95,83.05,83.59,2270372,ABC
2015-10-23,93.65,94.29,92.4,93.13,2596971,ABC
2013-10-25,64.84,65.31,64.55,65.24,1073977,ABC
2017-07-14,93.06,93.42,92.53,92.96,859020,ABC
2017-07-18,92.68,92.68,90.97,91.37,1299283,ABC
2017-05-18,86.26,87.66,86.1201,86.69,1152127,ABC
2016-02-17,86.06,87.83,85.72,87.49,3574732,ABC
2015-11-30,99.08,99.49,98.63,98.64,1579810,ABC
2015-10-22,92.88,93.69,91.79,92.8,3423227,ABC
2015-08-11,104.24,105.0,103.475,104.51,1647051,ABC
2017-04-12,87.15,87.59,86.14,86.82,1887694,ABC
2013-11-27,70.59,70.91,70.16,70.5,862630,ABC
2016-07-26,85.28,86.04,84.62,85.71,1646102,ABC
2013-04-22,56.42,56.44,55.65,56.2,2571342,ABC
2013-10-30,65.95,65.96,64.87,65.22,1677780,ABC
2013-04-16,54.48,54.9875,54.12,54.95,2050535,ABC
2016-07-12,82.25,84.41,82.24,84.18,2842055,ABC
2017-12-26,92.48,93.88,91.91,93.25,734272,ABC
2014-08-27,76.97,76.97,76.001,76.37,774424,ABC
2015-05-04,114.67,116.28,114.51,115.25,2195218,ABC
2015-06-18,111.5,112.63,110.72,111.92,1329971,ABC
2017-04-19,82.64,83.09,81.62,81.85,1904924,ABC
2013-03-26,50.86,51.21,50.47,50.72,2428292,ABC
2016-02-16,86.11,86.23,85.0,85.61,2234449,ABC
2017-10-25,82.0,82.52,81.41,82.23,1266446,ABC
2016-06-30,77.61,79.33,77.43,79.32,3196307,ABC
2017-07-13,93.55,93.79,92.32,92.86,788780,ABC
2018-01-16,99.1,100.67,98.97,99.55,1869731,ABC
2017-11-01,77.48,77.495,76.31,76.62,2546091,ABC
2015-10-12,93.02,93.75,92.8,93.72,1920539,ABC
2015-10-09,93.23,93.69,92.33,92.84,2815940,ABC
2013-02-08,46.52,46.895,46.46,46.89,1232802,ABC
2013-06-04,52.73,53.4,52.69,53.26,2779938,ABC
2014-06-02,73.31,73.79,73.08,73.21,1602057,ABC
2014-08-12,75.94,76.12,75.6,75.82,1084400,ABC
2016-04-25,91.75,91.99,90.98,91.51,2236917,ABC
2015-08-25,100.62,100.88,97.32,97.41,2699862,ABC
2014-09-26,77.41,77.67,76.86,77.42,910138,ABC
2013-04-17,54.78,55.19,54.45,55.06,3176640,ABC
2014-11-11,87.71,88.44,87.64,87.93,1214458,ABC
2016-05-25,74.59,74.75,73.87,74.04,1666428,ABC
2015-12-18,102.13,102.61,101.24,101.88,4466683,ABC
2013-05-08,55.03,55.21,54.615,55.1,2598656,ABC
2017-06-08,92.19,92.19,91.21,91.57,1113609,ABC
2013-07-26,57.41,58.58,57.28,58.47,1714280,ABC
2016-11-25,79.07,80.48,78.35,78.57,1159047,ABC
2014-10-15,75.79,76.41,74.51,76.02,2385579,ABC
2016-01-27,91.29,91.52,89.73,90.18,2844540,ABC
2014-04-03,65.81,65.91,65.38,65.8,2173432,ABC
2016-10-14,80.49,80.88,79.79,79.79,1285780,ABC
2013-10-07,62.27,62.36,61.88,61.97,742524,ABC
2015-11-23,99.0,99.0,98.4697,98.73,1062448,ABC
2017-10-19,80.82,82.55,80.735,82.2,1436645,ABC
2018-01-18,101.53,101.64,99.75,100.86,1895835,ABC
2017-04-18,83.17,83.44,81.13,82.56,4384149,ABC
2013-12-19,69.37,69.75,69.17,69.63,1964894,ABC
2014-05-08,64.39,65.255,64.195,64.4,1586471,ABC
2017-03-10,88.99,89.0,87.76,88.31,1545634,ABC
2015-11-05,97.8,98.41,97.38,97.89,2012510,ABC
2014-07-23,73.74,74.28,73.62,74.06,1931615,ABC
2017-12-07,86.27,86.84,85.43,85.93,1763704,ABC
2015-04-23,113.81,116.18,113.57,115.2,2152201,ABC
2013-10-24,64.2,64.94,64.2,64.64,1090638,ABC
2013-03-14,49.0,49.39,48.91,49.29,1810900,ABC
2017-09-11,83.33,84.56,82.89,84.39,1230843,ABC
2017-03-15,88.85,89.57,88.14,89.48,1800390,ABC
2013-10-03,62.06,62.34,61.18,61.42,2007948,ABC
2013-03-15,49.14,49.245,48.82,48.89,2027539,ABC
2017-03-23,85.86,86.75,85.79,85.99,1440204,ABC
2014-09-05,77.18,78.26,76.98,78.14,1240679,ABC
2014-02-13,67.37,68.19,66.88,67.89,1286198,ABC
2017-03-21,87.0,87.29,85.77,85.91,1988779,ABC
2016-06-23,77.66,77.77,77.03,77.55,2646996,ABC
2013-11-22,69.81,70.19,69.79,70.02,1310264,ABC
2015-12-24,103.71,104.19,103.52,103.95,435407,ABC
2015-08-14,103.98,104.19,103.41,103.94,1040572,ABC
2017-03-30,89.35,89.88,89.03,89.14,1395100,ABC
2016-06-29,76.08,77.5,76.03,77.26,1926778,ABC
2014-10-03,77.11,78.21,77.11,77.89,1578682,ABC
2014-01-14,70.66,70.96,69.61,70.54,2427311,ABC
2015-11-19,100.33,100.86,99.04,99.19,2044635,ABC
2013-11-08,66.92,68.02,66.75,68.0,1504484,ABC
2017-07-19,91.56,91.67,90.3,91.17,1331601,ABC
2016-04-26,91.73,92.0,91.13,91.28,1126704,ABC
2015-10-28,97.68,98.18,96.21,97.5,3478482,ABC
2014-09-22,77.35,77.56,76.75,77.18,1283503,ABC
2014-05-07,64.87,64.96,64.26,64.54,1946748,ABC
2015-03-05,103.74,103.9199,103.17,103.64,1208409,ABC
2016-12-30,79.35,79.49,77.96,78.19,1409032,ABC
2013-08-13,58.7,58.97,57.98,58.14,2300108,ABC
2013-07-03,54.5,55.235,54.4,55.09,1156975,ABC
2014-12-31,91.57,91.93,90.09,90.16,978958,ABC
2015-04-20,112.96,113.56,112.89,113.19,1412978,ABC
2016-08-31,86.13,87.075,85.73,86.97,2682035,ABC
2016-10-06,79.58,80.29,78.9,80.14,2249064,ABC
2014-03-13,68.01,68.21,67.55,67.79,1897421,ABC
2015-06-08,111.31,111.81,110.21,110.22,1335504,ABC
2014-12-19,92.04,92.56,91.12,91.68,2886939,ABC
