date,open,high,low,close,volume,Name
2015-05-05,48.21,48.71,46.9,47.005,11384951,AAL
2013-07-31,19.25,19.49,19.19,19.35,9571100,AAL
2013-09-18,18.68,18.8,18.47,18.68,4482400,AAL
2014-10-06,36.31,36.5,34.86,34.93,12794164,AAL
2017-04-03,42.33,42.57,41.625,42.45,5764716,AAL
2015-02-09,46.41,47.235,45.95,46.53,12961897,AAL
2013-12-11,25.44,27.2,25.37,25.99,38843371,AAL
2014-06-19,42.82,43.49,42.66,43.06,14117100,AAL
2017-09-15,45.3,46.04,45.19,46.0,14846236,AAL
2013-08-05,18.9,19.25,18.9,19.17,4365800,AAL
2017-12-05,49.85,50.0,49.2099,49.47,3594043,AAL
2017-08-28,45.23,45.3718,44.78,44.95,6969256,AAL
2014-04-17,35.5,35.865,34.82,35.4,9225655,AAL
2013-02-27,13.28,13.62,13.18,13.41,7390500,AAL
2014-03-03,36.17,36.4,35.32,36.1,9495177,AAL
2013-12-09,23.95,25.44,23.4501,24.6,43197268,AAL
2017-12-26,52.35,53.215,52.33,52.85,2774316,AAL
2014-03-07,39.17,39.29,38.11,39.02,10540431,AAL
2016-03-30,41.75,42.0699,41.36,41.38,6076819,AAL
2017-09-12,45.9,46.48,45.63,46.29,6325114,AAL
2014-02-06,33.71,34.92,33.7,34.66,13924507,AAL
2013-03-20,17.13,17.33,16.87,17.23,10819800,AAL
2017-02-03,44.31,44.55,43.7627,44.2,6357916,AAL
2016-11-09,40.76,42.75,40.44,42.41,8392383,AAL
2013-08-20,15.64,16.21,15.6,15.8,6373900,AAL
2015-10-07,38.41,39.41,37.76,39.31,10513746,AAL
2016-07-21,35.1,35.56,34.44,34.96,16429851,AAL
2016-02-01,39.0,39.94,38.63,39.38,12023520,AAL
2017-10-17,52.72,52.82,51.87,52.07,3651202,AAL
2016-03-04,42.17,42.17,41.42,41.63,9474058,AAL
2014-12-29,51.65,53.24,51.3,52.85,8791483,AAL
2016-01-06,40.05,41.7,40.0,41.23,12393780,AAL
2017-04-21,45.5,45.5,44.985,45.15,5535986,AAL
2013-12-06,22.72,22.88,22.13,22.55,28364700,AAL
2014-03-18,37.75,38.04,37.09,37.35,5716947,AAL
2016-03-21,43.32,43.78,43.28,43.47,4756375,AAL
2013-04-05,15.17,15.79,15.03,15.72,5252300,AAL
2015-02-19,50.78,50.8,49.59,49.78,11462822,AAL
2014-04-16,34.17,35.59,33.94,35.51,15636133,AAL
2015-10-08,39.21,40.03,38.7,39.74,8308146,AAL
2013-02-12,14.45,14.51,14.1,14.27,8126000,AAL
2016-03-24,41.88,41.95,40.19,40.5,12515149,AAL
2015-10-26,45.36,46.57,44.99,46.47,11026228,AAL
2013-05-08,17.01,17.55,16.99,17.34,6706200,AAL
2013-11-06,23.26,23.26,21.9,22.4,8827100,AAL
2017-08-29,44.53,44.85,44.38,44.56,5195211,AAL
2015-07-13,41.96,42.72,41.96,42.42,12076978,AAL
2017-01-17,47.56,47.75,46.67,46.75,5350794,AAL
2016-04-20,41.36,41.71,41.11,41.26,5018209,AAL
2017-09-14,46.79,46.94,46.12,46.19,5360496,AAL
2017-12-12,51.27,51.53,50.38,50.47,2798179,AAL
2014-01-03,25.75,26.75,25.51,26.54,13836062,AAL
2017-11-15,45.71,47.31,45.45,47.19,5223111,AAL
2015-06-05,42.13,42.58,41.71,41.72,9951149,AAL
2017-01-20,47.54,48.16,47.24,48.0,5611793,AAL
2016-12-27,48.29,48.92,48.14,48.61,2797847,AAL
2014-08-15,39.98,40.0799,38.79,39.19,9812047,AAL
2016-08-22,36.33,36.48,35.86,36.0,5189371,AAL
2013-05-22,18.06,18.43,17.71,17.93,8662000,AAL
2016-04-26,37.27,37.49,36.26,36.92,14692670,AAL
2015-06-02,43.3,44.105,43.04,43.775,14832921,AAL
