timestamp,open,high,low,close,volume
10/5/2018,227.96,228.41,220.58,224.29,33580463
1/26/2001,19.5,19.81,19.06,19.56,8621800
6/27/2002,16.79,17.27,16.42,17.06,4493900
11/24/2014,116.85,118.77,116.62,118.625,47450824
10/5/2016,113.4,113.66,112.69,113.05,21453089
7/13/1998,31.94,34.13,31.87,33.94,6387400
8/18/2017,157.86,159.5,156.72,157.5,27012525
1/21/2009,79.45,82.88,79.31,82.83,38902500
11/23/2012,567.17,572.0,562.6,571.5,9743800
4/17/2014,520.0,527.76,519.2,524.94,10154800
1/31/2014,495.18,501.53,493.55,500.6,16599900
11/29/2011,375.84,378.83,370.2,373.2,13423400
1/24/2002,22.91,23.51,22.9,23.21,6142900
6/15/1999,45.19,46.75,45.13,46.06,1164200
8/14/2014,97.33,97.57,96.8,97.5,28116000
4/7/1998,25.81,26.0,24.87,25.5,2613400
7/13/2015,125.03,125.755,124.32,125.66,41440538
6/11/2003,17.15,17.51,16.814,17.45,4019900
10/23/2012,631.0,633.9,611.7,613.3554,25255200
7/30/2004,32.69,33.0,32.0,32.34,4339700
9/8/2005,49.35,50.12,49.14,49.78,25094300
4/22/2004,27.56,28.18,27.11,27.78,6153300
7/18/2007,138.19,138.44,136.04,138.12,27030600
9/6/2002,14.51,14.65,14.23,14.38,3242700
5/1/2008,175.01,180.0,174.86,180.0,32270600
10/15/2008,103.84,107.0,97.89,97.95,56577700
8/9/2002,15.25,15.25,14.75,15.0,3673500
12/20/2010,321.6,323.25,318.23,322.21,13771800
1/7/2014,544.32,545.96,537.925,540.0375,11328900
9/27/2007,153.77,154.52,152.32,154.5,23507100
12/29/2009,212.63,212.72,208.73,209.1,15900200
5/21/1999,43.0,44.31,42.56,43.94,4135600
9/11/2006,72.43,73.73,71.42,72.5,33897300
6/1/2016,99.02,99.54,98.33,98.46,29173285
10/16/2015,111.78,112.0,110.53,111.04,39232609
10/21/2014,103.02,103.02,101.27,102.47,94623904
11/30/2010,313.54,314.36,310.87,311.15,17923500
10/10/2001,16.1,16.85,15.95,16.82,5495700
3/25/2002,24.07,24.09,23.24,23.35,4693400
4/2/2001,22.09,22.66,21.4,21.59,6087700
2/20/2013,457.69,457.69,448.8,448.85,17010800
7/31/2009,162.9881,165.0,162.91,163.39,15090600
3/2/2004,24.0,24.1,23.77,23.81,4583700
8/16/2016,109.63,110.23,109.21,109.38,33794448
6/26/1998,28.5,28.62,27.75,28.19,992100
5/13/2010,263.22,265.0,256.4,258.36,21418300
10/23/2001,19.12,19.42,17.87,18.14,12231800
12/5/2001,22.36,24.03,22.17,23.76,10153200
