date,open,high,low,close,volume,Name
2016-12-22,78.96,78.96,77.325,77.81,1881793,ABC
2017-03-24,85.99,86.83,85.72,86.56,1241019,ABC
2013-09-05,58.0,58.33,57.88,58.15,879974,ABC
2016-12-14,78.95,79.4,76.59,77.05,2282061,ABC
2016-07-11,81.97,82.6,81.85,82.18,1429336,ABC
2015-10-29,97.27,97.538,93.02,96.82,5179667,ABC
2014-03-26,64.92,65.59,64.7799,64.85,2186674,ABC
2016-06-02,75.81,77.23,75.66,77.08,3043678,ABC
2013-07-15,58.57,58.82,58.07,58.24,1693790,ABC
2014-10-29,79.58,80.19,79.26,79.74,2529790,ABC
2016-10-10,79.07,80.01,78.78,79.64,1281821,ABC
2013-09-13,60.63,60.78,60.09,60.28,1274072,ABC
2014-10-24,77.71,78.33,77.43,78.28,1425460,ABC
2017-03-09,89.4,89.4,88.08,88.61,1125654,ABC
2014-09-18,76.81,77.23,76.7,77.13,1121072,ABC
2014-03-10,68.91,69.65,68.75,69.1,1232134,ABC
2013-08-23,57.41,57.63,57.1,57.45,1494975,ABC
2017-02-22,91.19,92.2,91.01,91.34,1152878,ABC
2013-06-18,55.68,55.98,55.39,55.86,1806538,ABC
2014-02-13,67.37,68.19,66.88,67.89,1286198,ABC
2013-06-13,54.61,54.69,54.04,54.56,2551371,ABC
2016-12-07,78.19,78.19,73.86,76.38,4493498,ABC
2016-05-23,75.0,75.05,73.91,73.94,1730530,ABC
2015-06-10,109.04,109.185,108.28,108.75,1980546,ABC
2017-08-01,92.19,92.19,89.09,91.27,2301036,ABC
2015-11-16,96.86,98.07,96.54,97.3,1829729,ABC
2017-04-19,82.64,83.09,81.62,81.85,1904924,ABC
2014-08-27,76.97,76.97,76.001,76.37,774424,ABC
2013-10-30,65.95,65.96,64.87,65.22,1677780,ABC
2016-10-31,69.51,70.94,69.51,70.32,4437023,ABC
2014-02-27,68.01,68.31,67.65,68.01,1401629,ABC
2015-06-17,111.38,112.13,110.87,111.51,1597613,ABC
2018-02-01,97.74,99.81,95.73,99.29,2786798,ABC
