date,open,high,low,close,volume,Name
2016-10-06,79.58,80.29,78.9,80.14,2249064,ABC
2014-04-01,65.6,65.92,65.32,65.91,1747343,ABC
2017-10-03,83.33,83.7287,82.515,82.88,1141899,ABC
2016-03-09,87.79,88.01,87.37,87.57,1817730,ABC
2013-05-08,55.03,55.21,54.615,55.1,2598656,ABC
2014-10-20,75.87,76.02,75.11,75.49,2599298,ABC
2017-07-11,92.65,92.65,91.15,92.18,911512,ABC
2016-09-20,83.65,83.68,82.07,82.08,2484426,ABC
2013-02-19,46.67,47.24,46.62,47.22,1831692,ABC
2013-06-03,54.01,54.14,52.38,52.68,3582039,ABC
2015-06-23,112.18,112.47,111.58,111.81,1035572,ABC
2016-03-24,86.86,87.23,85.9499,86.17,2449692,ABC
2017-05-17,87.48,88.45,86.13,86.28,1797010,ABC
2014-07-01,72.67,73.26,72.59,72.98,1096350,ABC
2014-03-20,66.74,66.9,66.26,66.48,1526286,ABC
2015-01-05,90.07,90.74,89.64,89.69,1631322,ABC
2015-04-17,113.21,113.71,112.05,112.61,2297916,ABC
2017-11-24,81.9,81.98,80.22,81.23,701755,ABC
2016-02-19,86.74,87.05,86.28,86.84,1653572,ABC
2016-08-31,86.13,87.075,85.73,86.97,2682035,ABC
2017-04-03,88.41,88.63,86.8,87.33,1379461,ABC
2013-02-12,46.7,47.05,46.6,46.96,1318773,ABC
2015-08-12,104.19,105.84,102.45,104.38,1905030,ABC
2016-10-17,79.75,79.91,79.23,79.74,2187491,ABC
2015-11-05,97.8,98.41,97.38,97.89,2012510,ABC
2014-06-24,72.18,72.74,71.91,72.55,1413799,ABC
2013-08-22,57.22,57.66,57.14,57.43,1602558,ABC
2014-01-30,67.65,68.145,67.65,67.77,1437156,ABC
2015-11-27,99.02,99.7,98.47,98.99,775378,ABC
2013-07-25,56.2,57.69,55.8,57.61,2869105,ABC
2017-10-24,82.69,82.98,80.64,81.85,1166044,ABC
2018-01-30,102.0,103.65,100.03,102.46,3113941,ABC
2014-06-27,72.59,73.25,72.43,72.87,1121183,ABC
2016-10-21,80.16,80.53,79.93,80.02,1210526,ABC
2013-03-12,48.52,48.85,48.44,48.65,1222544,ABC
2015-03-11,103.4,104.1,102.95,103.84,1719937,ABC
2015-11-09,97.33,97.905,96.38,97.4,1699133,ABC
2017-02-22,91.19,92.2,91.01,91.34,1152878,ABC
2014-03-21,66.55,66.63,64.56,64.82,3534843,ABC
2017-05-12,88.61,88.97,88.44,88.75,1202105,ABC
2016-04-29,86.13,86.49,84.37,85.1,3905081,ABC
2013-05-02,53.85,54.86,53.77,54.85,2157842,ABC
2017-09-28,81.85,81.88,80.27,80.99,1120810,ABC
2017-01-05,84.38,84.83,82.62,83.68,2136224,ABC
2017-08-01,92.19,92.19,89.09,91.27,2301036,ABC
2016-09-12,85.01,87.14,84.95,86.95,2380689,ABC
2014-10-10,77.35,78.11,76.86,76.9,1407495,ABC
2016-05-24,74.37,74.59,73.89,74.34,1949125,ABC
2015-11-11,99.41,99.64,98.15,98.24,1515599,ABC
2014-10-30,87.95,88.78,87.54,88.71,1323449,ABC
2013-08-07,58.31,59.17,58.21,58.74,1414342,ABC
2014-07-15,72.8,73.09,72.45,72.7,1672248,ABC
2013-04-30,54.07,54.13,53.6,54.12,2065054,ABC
2016-03-23,87.5,87.84,87.09,87.27,1327800,ABC
2015-03-31,113.42,114.27,113.42,113.67,2254190,ABC
2014-04-15,64.56,64.91,63.23,64.22,2011115,ABC
2014-05-29,72.69,73.42,72.69,73.28,1611723,ABC
2017-12-13,87.54,89.24,87.36,88.48,1391586,ABC
2014-02-26,68.87,69.165,67.96,68.26,1539103,ABC
2017-10-20,82.57,83.77,82.35,83.21,1297292,ABC
2014-01-02,70.11,70.23,69.48,69.89,1148391,ABC
2014-08-04,77.28,77.92,76.54,77.79,3296305,ABC
2013-08-26,57.41,57.78,57.32,57.44,822346,ABC
2016-09-06,87.3,87.798,87.0,87.63,1652301,ABC
2014-06-02,73.31,73.79,73.08,73.21,1602057,ABC
2013-09-10,59.0,59.5,58.89,59.37,1080266,ABC
2017-01-10,85.1,86.14,84.3,84.83,1860866,ABC
2013-06-27,55.37,55.76,55.1,55.31,2448161,ABC
2013-03-08,48.27,48.51,47.97,48.48,1427447,ABC
2014-08-19,76.68,77.1,76.63,76.93,715761,ABC
2015-12-24,103.71,104.19,103.52,103.95,435407,ABC
2014-09-26,77.41,77.67,76.86,77.42,910138,ABC
2016-09-16,83.96,84.39,83.01,84.11,3459904,ABC
2017-06-28,96.17,97.11,96.07,96.38,897599,ABC
2013-04-16,54.48,54.9875,54.12,54.95,2050535,ABC
2014-09-05,77.18,78.26,76.98,78.14,1240679,ABC
2016-07-29,84.34,85.375,84.12,85.19,1935906,ABC
2013-12-19,69.37,69.75,69.17,69.63,1964894,ABC
2014-10-15,75.79,76.41,74.51,76.02,2385579,ABC
