date,open,high,low,close,volume,Name
2014-06-25,72.58,73.11,72.4,72.74,1029354,ABC
2015-09-01,97.55,100.86,97.55,99.27,2533578,ABC
2015-02-24,102.76,103.14,102.29,102.97,1169184,ABC
2015-04-27,115.88,115.88,113.854,114.11,1563069,ABC
2017-07-20,91.2,92.35,90.62,91.95,1136414,ABC
2016-08-15,88.95,89.41,88.64,89.39,1796956,ABC
2015-01-07,90.98,92.4,90.43,91.98,1608941,ABC
2013-08-02,58.75,58.8,58.25,58.48,1560080,ABC
2013-02-25,47.1,47.25,46.18,46.18,1795053,ABC
2017-10-18,80.13,81.66,80.13,80.49,1699309,ABC
2016-06-27,75.14,75.18,73.44,73.85,2231984,ABC
2016-03-30,86.5,87.445,86.42,87.09,1659918,ABC
2014-11-14,88.87,89.24,88.34,88.83,1635048,ABC
2016-08-05,89.37,90.48,89.25,89.35,1527972,ABC
2017-05-08,86.21,86.98,86.02,86.59,1791265,ABC
2017-02-15,90.65,91.47,89.66,91.18,1944692,ABC
2015-06-29,106.81,107.62,105.78,106.1,1730588,ABC
2014-08-22,77.05,77.285,76.43,76.6,681067,ABC
2016-06-08,76.31,76.64,75.87,76.25,2048296,ABC
2016-09-28,83.25,83.3,82.46,83.2,1310409,ABC
2016-01-07,100.87,101.15,98.49,98.53,3658651,ABC
2015-02-17,100.21,100.85,99.68,100.6,2196913,ABC
2018-01-02,92.15,94.07,92.12,94.04,1138157,ABC
2016-09-13,86.2,86.5499,84.98,85.25,2722591,ABC
2015-07-31,104.58,106.25,104.1333,105.75,2718811,ABC
2017-09-25,80.23,81.36,80.14,80.98,717129,ABC
2016-10-27,79.56,79.84,79.11,79.5,1595088,ABC
2017-12-29,92.89,93.6,91.755,91.82,777786,ABC
2017-12-08,86.06,86.83,85.01,86.7,1734132,ABC
2014-08-26,76.85,76.91,76.35,76.72,615982,ABC
2014-07-08,73.0,73.07,72.6,72.87,1273330,ABC
2016-05-17,74.4,75.06,74.06,74.53,2971403,ABC
2017-07-07,93.04,94.26,92.74,93.91,1158714,ABC
2016-12-27,78.42,79.27,78.3,78.82,655245,ABC
2017-08-22,78.24,79.46,78.09,79.23,1372974,ABC
2017-08-03,84.11,85.33,80.51,81.71,7434738,ABC
2015-01-02,90.61,91.32,89.82,90.46,1124780,ABC
2013-11-26,70.77,71.16,70.29,70.61,1528461,ABC
2016-07-07,81.09,81.53,80.53,80.99,2508864,ABC
2017-03-08,88.32,89.97,88.32,89.08,1847565,ABC
2015-11-18,99.07,100.44,98.87,100.31,1988706,ABC
2017-01-24,84.7,85.19,84.06,84.41,1513452,ABC
2014-04-10,65.91,66.18,64.74,65.0,2105725,ABC
2013-09-04,57.63,58.3,57.592,58.13,981132,ABC
2013-11-07,67.41,67.48,66.59,66.73,1523597,ABC
2015-08-21,102.48,103.49,101.34,101.8,2746232,ABC
2016-03-07,87.36,88.25,87.19,88.1,1757279,ABC
2014-07-02,72.83,73.18,72.72,73.05,1272892,ABC
2016-02-10,85.44,86.35,85.22,85.6,2708381,ABC
2014-11-06,87.96,88.11,86.82,87.4,2317247,ABC
2015-10-20,94.62,95.05,92.87,93.18,2668072,ABC
2014-03-25,64.61,65.31,63.98,64.56,1948609,ABC
2016-09-27,82.75,83.74,82.46,83.25,1583508,ABC
2013-06-07,52.7,53.25,52.7,52.94,3489279,ABC
2017-10-12,80.37,81.2984,80.37,80.8,1195264,ABC
2014-07-24,77.05,79.13,75.62,76.37,4459397,ABC
2014-05-14,66.86,67.42,66.7,67.3,1976824,ABC
2014-12-17,89.82,91.02,89.485,90.56,1958540,ABC
2015-07-21,114.65,114.94,113.5,114.1,1466030,ABC
2016-04-18,88.04,88.72,87.64,88.66,1746813,ABC
2014-03-14,67.66,67.95,67.4032,67.57,1672775,ABC
2015-08-24,93.0,100.85,91.48,98.53,4569825,ABC
2017-03-07,89.23,89.8,87.92,88.48,2612066,ABC
2017-02-03,88.57,89.61,87.74,89.28,2990323,ABC
2017-04-05,87.44,88.26,86.99,87.18,1187096,ABC
2016-06-10,75.87,77.24,75.37,76.46,2818140,ABC
2013-09-03,57.46,57.88,57.21,57.39,1054457,ABC
2017-05-30,90.66,91.39,90.53,91.03,1248400,ABC
2015-12-31,104.47,105.12,103.68,103.71,1107637,ABC
2016-05-19,74.46,75.31,74.34,75.05,3019081,ABC
2016-06-24,75.08,75.85,75.04,75.44,4480624,ABC
2016-03-31,87.13,87.74,86.3,86.55,1716159,ABC
2014-03-27,64.81,64.82,63.72,64.11,2193227,ABC
2016-11-10,77.09,80.8025,77.09,79.59,4612159,ABC
2014-12-18,91.12,91.39,90.43,91.28,2160743,ABC
2014-06-09,72.4,72.84,72.11,72.34,1581366,ABC
2015-12-04,99.12,100.4,98.54,99.89,1697308,ABC
2016-08-02,88.64,90.54,87.58,89.43,5179162,ABC
2016-09-30,81.29,81.64,79.34,80.78,3001798,ABC
2014-09-16,76.47,77.44,75.71,77.11,1988534,ABC
2013-03-06,48.44,48.8,48.27,48.48,1494635,ABC
2017-08-15,80.25,80.425,79.78,80.0,2126689,ABC
2014-07-22,73.06,73.88,73.02,73.72,1257019,ABC
2014-04-28,63.25,63.68,62.69,63.45,1666982,ABC
2015-11-02,97.51,98.05,96.56,97.83,2434245,ABC
2014-06-30,72.99,72.99,72.4,72.66,1105872,ABC
2014-02-20,68.4,68.65,67.57,68.39,1469772,ABC
2013-05-01,54.06,54.4,53.76,53.84,2418458,ABC
2014-12-02,90.93,92.51,90.87,92.04,1769841,ABC
2016-07-18,85.73,86.12,85.55,86.03,1113576,ABC
2015-03-04,102.53,103.65,102.13,103.48,1832610,ABC
2014-01-22,70.8,70.87,69.8,70.28,1845447,ABC
2013-10-22,64.18,64.5599,63.53,63.76,1581978,ABC
2013-06-10,53.13,53.84,52.97,53.71,2499569,ABC
2016-06-22,76.57,77.48,76.07,77.13,1935264,ABC
2016-12-16,76.94,77.585,76.5,77.38,3635061,ABC
2015-05-06,114.9,115.13,113.507,114.06,1703618,ABC
2014-08-11,75.77,76.39,75.53,75.89,1267074,ABC
2014-09-09,78.22,78.33,77.83,78.0,1084259,ABC
2014-10-27,78.34,79.99,78.29,79.45,3261053,ABC
2014-06-20,72.17,72.46,71.91,72.26,2560137,ABC
2016-02-18,87.03,87.49,86.59,86.69,2225791,ABC
2013-12-03,70.54,70.724,70.0303,70.57,1787944,ABC
2017-01-27,83.68,83.68,82.07,82.43,1865412,ABC
2017-12-01,83.98,85.25,81.2076,84.95,3188555,ABC
2017-11-13,74.69,77.0,74.31,75.4,2892626,ABC
